VehicleID,LicenseNO,VID,VCODE,SIMNO,RegisterDate,MobileUnitBrandID,MobileUnitModelID,GroupID,CustomerID
1,70-8500,4063,6C9857D5C10308E,A0159DF6235ECAC,2009/11/05,2,11,3125,0
2,กน-6709,3056,0898937209,66898937209,2009/05/07,5,14,68,512
3,01670,6102,B92DBEE2C03B1AE,87A40E997699B2E,2010/11/23,2,11,69,75
4,4020884370,9120,CFA34E9F76804FC,922BCCCA1521BC3,2012/01/12,6,9,69,75
5,4020888447,6263,FF02DBA3A858103,909B5602F5C7FB2,2010/12/09,6,9,69,75
6,4020878851,7264,4020878851,66843608969,2011/06/13,6,9,70,0
7,AIE5052P,5171,ID00007814,66628203435,2010/07/16,2,11,71,907
8,AIE5053P,5172,ID00007815,66628203324,2010/07/16,2,11,71,907
9,AIE5674TK1,5185,ID00007828,66944655874,2010/07/16,2,11,71,907
10,AIE5675TK2,5182,ID00007825,66944655707,2010/07/16,2,11,71,907
11,AIE5983TR3,5175,ID00007818,66944651781,2010/07/16,2,11,71,907
12,AIE5986TR4,5178,ID00007821,66944654328,2010/07/16,2,11,71,907
13,AIE5988TR5,5184,ID00007827,66944656988,2010/07/16,2,11,71,907
14,AIE5990TR6,5177,ID00007820,66944655177,2010/07/16,2,11,71,907
15,AIE6225TR7,5176,ID00007819,66628203955,2010/07/16,2,11,71,907
16,AIE6228TR8,5174,ID00007817,66944652905,2010/07/16,2,11,71,907
17,AIE6230TR9,5179,ID00004822,66628203980,2010/07/16,2,11,71,907
18,AIE6232TR10,5180,ID00007823,66944655883,2010/07/16,2,11,71,907
19,AIE6325TK11,5183,ID00007830,66944656780,2010/07/16,2,11,71,907
20,AIE6397V12,5173,ID00005677,66944651744,2010/07/16,2,11,71,907
21,AIE6398V13,5181,ID00007824,66944655594,2010/07/16,2,11,71,907
22,AIE7757,9904,861785009764451,66944030642,2012/05/24,3,16,71,907
23,AIE7758,9905,861785009851597,66944029807,2012/05/24,3,16,71,907
24,AIE7962TK,9903,861785009836945,66944030524,2012/05/24,3,16,71,907
25,AIE7963TK,9906,861785009853270,66944029981,2012/05/24,3,16,71,907
26,บม-132ปจ,8996,ID00014205,66626544082,2011/12/09,2,11,72,80
27,บธ-9285,8994,ID00011346,66626544113,2011/12/09,2,11,72,80
28,บน-1082,8995,ID00014204,66626543932,2011/12/09,2,11,72,80
29,ศต-8095,8997,0819040763,66819040763,2011/12/09,2,11,72,80
30,กต-111 อย.,3082,0898934746,66898934746,2009/05/22,1,1,73,0
31,กต-555 อย.,3080,0898931232,66898931232,2009/05/22,1,1,73,0
